,Name,Model_Num,N_models,Num_features,Distance_Num,Phi_Val
0,direct_search_5000_10000_15000,0,250,5000,96,0.3578855097293854
1,direct_search_5000_10000_15000,1,250,5000,156,0.32978352904319763
2,direct_search_5000_10000_15000,2,250,5000,908,-0.508817195892334
3,direct_search_5000_10000_15000,3,250,5000,1452,-1.0439989566802979
4,direct_search_5000_10000_15000,4,250,5000,2725,0.9597594141960144
5,direct_search_5000_10000_15000,5,250,5000,1,0.0009012185037136078
6,direct_search_5000_10000_15000,6,250,5000,480,-0.9239568710327148
7,direct_search_5000_10000_15000,7,250,5000,563,-0.5522263050079346
8,direct_search_5000_10000_15000,8,250,5000,3449,-0.5509560108184814
9,direct_search_5000_10000_15000,9,250,5000,6,-0.15957200527191162
10,direct_search_5000_10000_15000,10,250,5000,234,0.632294774055481
11,direct_search_5000_10000_15000,11,250,5000,495,-0.8501986861228943
12,direct_search_5000_10000_15000,12,250,5000,800,-1.451614499092102
13,direct_search_5000_10000_15000,13,250,5000,21,-0.07540683448314667
14,direct_search_5000_10000_15000,14,250,5000,3084,-0.16590791940689087
15,direct_search_5000_10000_15000,15,250,5000,54,-0.31990915536880493
16,direct_search_5000_10000_15000,16,250,5000,843,-0.48259082436561584
17,direct_search_5000_10000_15000,17,250,5000,26,0.21632295846939087
18,direct_search_5000_10000_15000,18,250,5000,77,0.12958329916000366
19,direct_search_5000_10000_15000,19,250,5000,249,0.598194420337677
20,direct_search_5000_10000_15000,20,250,5000,21,0.007733247242867947
21,direct_search_5000_10000_15000,21,250,5000,389,1.4654862880706787
22,direct_search_5000_10000_15000,22,250,5000,526,0.8101052641868591
23,direct_search_5000_10000_15000,23,250,5000,2180,-1.8425328731536865
24,direct_search_5000_10000_15000,24,250,5000,825,0.31845593452453613
25,direct_search_5000_10000_15000,25,250,5000,51,-0.31170761585235596
26,direct_search_5000_10000_15000,26,250,5000,3629,1.8291198015213013
27,direct_search_5000_10000_15000,27,250,5000,142,-0.2990557849407196
28,direct_search_5000_10000_15000,28,250,5000,1099,0.5671954154968262
29,direct_search_5000_10000_15000,29,250,5000,141,0.3782408535480499
30,direct_search_5000_10000_15000,30,250,5000,2460,-0.3776668906211853
31,direct_search_5000_10000_15000,31,250,5000,293,0.6335669755935669
32,direct_search_5000_10000_15000,32,250,5000,55,0.14735974371433258
33,direct_search_5000_10000_15000,33,250,5000,1594,0.869319498538971
34,direct_search_5000_10000_15000,34,250,5000,338,0.2286680042743683
35,direct_search_5000_10000_15000,35,250,5000,1122,0.6758625507354736
36,direct_search_5000_10000_15000,36,250,5000,1430,2.360780954360962
37,direct_search_5000_10000_15000,37,250,5000,36,0.18012635409832
38,direct_search_5000_10000_15000,38,250,5000,3027,0.5028018355369568
39,direct_search_5000_10000_15000,39,250,5000,2819,0.974907636642456
40,direct_search_5000_10000_15000,40,250,5000,1302,-1.3376654386520386
41,direct_search_5000_10000_15000,41,250,5000,359,0.3725452125072479
42,direct_search_5000_10000_15000,42,250,5000,117,0.4239683747291565
43,direct_search_5000_10000_15000,43,250,5000,2476,1.9244476556777954
44,direct_search_5000_10000_15000,44,250,5000,2054,-0.4672711193561554
45,direct_search_5000_10000_15000,45,250,5000,1578,-1.1688045263290405
46,direct_search_5000_10000_15000,46,250,5000,2076,0.5413377285003662
47,direct_search_5000_10000_15000,47,250,5000,1337,-1.3874374628067017
48,direct_search_5000_10000_15000,48,250,5000,8,0.0013425983488559723
49,direct_search_5000_10000_15000,49,250,5000,1924,1.014885663986206
50,direct_search_5000_10000_15000,50,250,5000,635,0.8340071439743042
51,direct_search_5000_10000_15000,51,250,5000,312,0.7020221948623657
52,direct_search_5000_10000_15000,52,250,5000,1181,-0.9690899848937988
53,direct_search_5000_10000_15000,53,250,5000,1585,-1.616533637046814
