,Name,Model_Num,N_models,Num_features,Distance_Num,Phi_Val
0,direct_search_5000_10000_15000_20000_1,0,250,5000,697,-0.7570764422416687
1,direct_search_5000_10000_15000_20000_1,1,250,5000,1184,1.3349719047546387
2,direct_search_5000_10000_15000_20000_1,2,250,5000,1142,-0.2740126848220825
3,direct_search_5000_10000_15000_20000_1,3,250,5000,17,0.26551613211631775
4,direct_search_5000_10000_15000_20000_1,4,250,5000,4351,-2.1065595149993896
5,direct_search_5000_10000_15000_20000_1,5,250,5000,5000,2.3540120124816895
6,direct_search_5000_10000_15000_20000_1,6,250,5000,497,0.8971704840660095
7,direct_search_5000_10000_15000_20000_1,7,250,5000,35,-0.008667662739753723
8,direct_search_5000_10000_15000_20000_1,8,250,5000,1008,-1.488979697227478
9,direct_search_5000_10000_15000_20000_1,9,250,5000,4084,-3.382887840270996
10,direct_search_5000_10000_15000_20000_1,10,250,5000,303,1.0798286199569702
11,direct_search_5000_10000_15000_20000_1,11,250,5000,2357,-0.5241519212722778
12,direct_search_5000_10000_15000_20000_1,12,250,5000,334,-0.514161229133606
13,direct_search_5000_10000_15000_20000_1,13,250,5000,2592,0.2128896415233612
14,direct_search_5000_10000_15000_20000_1,14,250,5000,3085,-0.818024754524231
15,direct_search_5000_10000_15000_20000_1,15,250,5000,1952,1.8793408870697021
16,direct_search_5000_10000_15000_20000_1,16,250,5000,2323,0.2630167305469513
17,direct_search_5000_10000_15000_20000_1,17,250,5000,1438,-1.0313875675201416
18,direct_search_5000_10000_15000_20000_1,18,250,5000,1072,-0.12128682434558868
19,direct_search_5000_10000_15000_20000_1,19,250,5000,5000,-2.668529510498047
20,direct_search_5000_10000_15000_20000_1,20,250,5000,5000,-1.317734718322754
21,direct_search_5000_10000_15000_20000_1,21,250,5000,99,-0.3661547601222992
22,direct_search_5000_10000_15000_20000_1,22,250,5000,153,-1.0432134866714478
23,direct_search_5000_10000_15000_20000_1,23,250,5000,2720,4.991953372955322
24,direct_search_5000_10000_15000_20000_1,24,250,5000,463,0.9413889646530151
25,direct_search_5000_10000_15000_20000_1,25,250,5000,28,0.1413273811340332
26,direct_search_5000_10000_15000_20000_1,26,250,5000,1341,-2.487076759338379
27,direct_search_5000_10000_15000_20000_1,27,250,5000,5000,-2.661628484725952
28,direct_search_5000_10000_15000_20000_1,28,250,5000,77,-0.39732787013053894
29,direct_search_5000_10000_15000_20000_1,29,250,5000,3605,1.3914402723312378
30,direct_search_5000_10000_15000_20000_1,30,250,5000,504,0.1631893366575241
31,direct_search_5000_10000_15000_20000_1,31,250,5000,51,-0.3471614420413971
