,Name,Model_Num,N_models,Num_features,Distance_Num,Phi_Val
0,direct_search_100_200_500,0,250,100,13,-0.8192256689071655
1,direct_search_100_200_500,1,250,100,6,-0.2903919816017151
2,direct_search_100_200_500,2,250,100,29,0.4011542797088623
3,direct_search_100_200_500,3,250,100,6,0.4232150614261627
4,direct_search_100_200_500,4,250,100,22,-0.6357393860816956
5,direct_search_100_200_500,5,250,100,17,-0.23530256748199463
6,direct_search_100_200_500,6,250,100,9,-0.81089848279953
7,direct_search_100_200_500,7,250,100,72,-0.3074392080307007
8,direct_search_100_200_500,8,250,100,21,-0.7661168575286865
9,direct_search_100_200_500,9,250,100,10,0.6208205223083496
10,direct_search_100_200_500,10,250,100,74,-0.47473177313804626
11,direct_search_100_200_500,11,250,100,40,0.9128658771514893
12,direct_search_100_200_500,12,250,100,8,0.3166247010231018
13,direct_search_100_200_500,13,250,100,73,-0.8069851398468018
14,direct_search_100_200_500,14,250,100,28,-1.6462546586990356
15,direct_search_100_200_500,15,250,100,3,-0.39392635226249695
16,direct_search_100_200_500,16,250,100,28,-1.3831913471221924
17,direct_search_100_200_500,17,250,100,19,-0.8971636891365051
18,direct_search_100_200_500,18,250,100,9,-0.21731986105442047
19,direct_search_100_200_500,19,250,100,3,-0.10966137051582336
20,direct_search_100_200_500,20,250,100,14,0.6574008464813232
21,direct_search_100_200_500,21,250,100,85,0.5968750715255737
22,direct_search_100_200_500,22,250,100,17,-0.45101460814476013
23,direct_search_100_200_500,23,250,100,3,0.15248408913612366
24,direct_search_100_200_500,24,250,100,2,0.28978079557418823
25,direct_search_100_200_500,25,250,100,57,-0.48102867603302
26,direct_search_100_200_500,26,250,100,53,1.0834071636199951
27,direct_search_100_200_500,27,250,100,33,0.46272242069244385
28,direct_search_100_200_500,28,250,100,12,-1.240377426147461
29,direct_search_100_200_500,29,250,100,1,0.006113320589065552
30,direct_search_100_200_500,30,250,100,11,0.6727712750434875
31,direct_search_100_200_500,31,250,100,1,-0.23783409595489502
32,direct_search_100_200_500,32,250,100,9,0.4136630892753601
33,direct_search_100_200_500,33,250,100,8,0.7698718309402466
34,direct_search_100_200_500,34,250,100,7,-0.1867523342370987
35,direct_search_100_200_500,35,250,100,79,-0.2370040863752365
36,direct_search_100_200_500,36,250,100,11,-0.9742553234100342
37,direct_search_100_200_500,37,250,100,5,-0.9228652119636536
38,direct_search_100_200_500,38,250,100,15,0.34157007932662964
39,direct_search_100_200_500,39,250,100,4,-0.9195157885551453
40,direct_search_100_200_500,40,250,100,2,-0.04993749409914017
41,direct_search_100_200_500,41,250,100,13,-0.9304584860801697
42,direct_search_100_200_500,42,250,100,12,-0.6510853171348572
43,direct_search_100_200_500,43,250,100,77,-0.708298921585083
44,direct_search_100_200_500,44,250,100,57,0.009884449653327465
45,direct_search_100_200_500,45,250,100,14,0.4524674415588379
46,direct_search_100_200_500,46,250,100,3,0.11097715049982071
47,direct_search_100_200_500,47,250,100,3,-0.07162627577781677
48,direct_search_100_200_500,48,250,100,6,-0.7743326425552368
49,direct_search_100_200_500,49,250,100,41,2.069561243057251
50,direct_search_100_200_500,50,250,100,15,0.4053366780281067
51,direct_search_100_200_500,51,250,100,23,0.8709788918495178
52,direct_search_100_200_500,52,250,100,7,0.731158971786499
53,direct_search_100_200_500,53,250,100,27,-0.5606520771980286
54,direct_search_100_200_500,54,250,100,25,-0.8392079472541809
55,direct_search_100_200_500,55,250,100,29,-2.0037431716918945
56,direct_search_100_200_500,56,250,100,42,0.4372769296169281
57,direct_search_100_200_500,57,250,100,21,-1.970941424369812
58,direct_search_100_200_500,58,250,100,29,1.6334110498428345
59,direct_search_100_200_500,59,250,100,1,-0.15565240383148193
60,direct_search_100_200_500,60,250,100,8,-0.12553758919239044
61,direct_search_100_200_500,61,250,100,56,1.5196092128753662
62,direct_search_100_200_500,62,250,100,25,0.4588371217250824
63,direct_search_100_200_500,63,250,100,5,0.6371055841445923
64,direct_search_100_200_500,64,250,100,23,0.5744704604148865
65,direct_search_100_200_500,65,250,100,4,-0.22649873793125153
66,direct_search_100_200_500,66,250,100,34,-0.1842002272605896
67,direct_search_100_200_500,67,250,100,4,0.4138393998146057
68,direct_search_100_200_500,68,250,100,2,0.636420488357544
69,direct_search_100_200_500,69,250,100,2,0.10169165581464767
70,direct_search_100_200_500,70,250,100,14,0.1834663599729538
71,direct_search_100_200_500,71,250,100,82,1.289699912071228
72,direct_search_100_200_500,72,250,100,78,-1.8631513118743896
73,direct_search_100_200_500,73,250,100,75,-0.7823079228401184
74,direct_search_100_200_500,74,250,100,23,-0.665021538734436
75,direct_search_100_200_500,75,250,100,5,0.28376325964927673
76,direct_search_100_200_500,76,250,100,39,-1.1470527648925781
77,direct_search_100_200_500,77,250,100,25,0.8234045505523682
78,direct_search_100_200_500,78,250,100,40,-1.0284148454666138
79,direct_search_100_200_500,79,250,100,2,-0.2654390037059784
80,direct_search_100_200_500,80,250,100,3,-0.6665889024734497
81,direct_search_100_200_500,81,250,100,52,-0.9878249764442444
82,direct_search_100_200_500,82,250,100,86,-1.2391787767410278
83,direct_search_100_200_500,83,250,100,6,-0.4958714544773102
84,direct_search_100_200_500,84,250,100,23,-1.1052823066711426
85,direct_search_100_200_500,85,250,100,8,1.0810962915420532
86,direct_search_100_200_500,86,250,100,56,0.8167650103569031
87,direct_search_100_200_500,87,250,100,67,-0.08163534104824066
88,direct_search_100_200_500,88,250,100,98,0.8135961890220642
89,direct_search_100_200_500,89,250,100,17,0.9445378184318542
90,direct_search_100_200_500,90,250,100,10,-0.45201000571250916
91,direct_search_100_200_500,91,250,100,52,1.6245505809783936
92,direct_search_100_200_500,92,250,100,8,-0.7140043377876282
93,direct_search_100_200_500,93,250,100,2,-0.11838280409574509
94,direct_search_100_200_500,94,250,100,27,2.0773351192474365
95,direct_search_100_200_500,95,250,100,38,1.2003600597381592
96,direct_search_100_200_500,96,250,100,46,-1.5004894733428955
97,direct_search_100_200_500,97,250,100,8,-0.4447748064994812
98,direct_search_100_200_500,98,250,100,10,0.621330976486206
99,direct_search_100_200_500,99,250,100,1,0.2206406593322754
100,direct_search_100_200_500,100,250,100,36,0.529900312423706
101,direct_search_100_200_500,101,250,100,14,0.1088954508304596
102,direct_search_100_200_500,102,250,100,32,-0.802895724773407
103,direct_search_100_200_500,103,250,100,68,-3.010730743408203
104,direct_search_100_200_500,104,250,100,62,-0.23520512878894806
105,direct_search_100_200_500,105,250,100,85,0.5686545372009277
106,direct_search_100_200_500,106,250,100,2,-0.5340850353240967
107,direct_search_100_200_500,107,250,100,16,0.21916095912456512
108,direct_search_100_200_500,108,250,100,1,0.13970334827899933
109,direct_search_100_200_500,109,250,100,5,-0.08868280798196793
110,direct_search_100_200_500,110,250,100,38,-2.6905860900878906
111,direct_search_100_200_500,111,250,100,88,0.8032371997833252
112,direct_search_100_200_500,112,250,100,3,-0.1275465190410614
